date,title,url
2025-05-11,"Secretary Rollins Suspends Live Animal Imports Through Ports of Entry Along Southern Border, Effective Immediately",https://www.usda.gov/about-usda/news/press-releases/2025/05/11/secretary-rollins-suspends-live-animal-imports-through-ports-entry-along-southern-border-effective
2025-05-02,"In the First 100 Days of the Trump Administration, Secretary Rollins Works to Make America Healthy Again",https://www.usda.gov/about-usda/news/press-releases/2025/05/02/first-100-days-trump-administration-secretary-rollins-works-make-america-healthy-again
2025-04-29,"Secretary Rollins and Secretary Kennedy Visit Texas to Meet with Farmers Who Are Making America Healthy Again and Utilizing Stewardship Practices, Secretary Rollins Provides Update on New World Screwworm",https://www.usda.gov/about-usda/news/press-releases/2025/04/29/secretary-rollins-and-secretary-kennedy-visit-texas-meet-farmers-who-are-making-america-healthy
2025-04-24,"Secretary Rollins, Secretary Wright, and Administrator Zeldin Visit Oklahoma to Highlight Trump Administration Efforts to Unleash American Energy",https://www.usda.gov/about-usda/news/press-releases/2025/04/24/secretary-rollins-secretary-wright-and-administrator-zeldin-visit-oklahoma-highlight-trump
2025-02-15,WHAT THEY ARE SAYING: Agriculture and Government Leaders Applaud Secretary Rollins’ Confirmation,https://www.usda.gov/about-usda/news/press-releases/2025/02/15/what-they-are-saying-agriculture-and-government-leaders-applaud-secretary-rollins-confirmation
2025-02-14,Secretary Rollins Takes Bold Action on Day One,https://www.usda.gov/about-usda/news/press-releases/2025/02/14/secretary-rollins-takes-bold-action-day-one
2025-01-08,Fact Sheet: Biden-Harris Administration Advances Agricultural Exports in Support of the U.S. Economy,https://www.usda.gov/about-usda/news/press-releases/2025/01/08/fact-sheet-biden-harris-administration-advances-agricultural-exports-support-us-economy
2025-01-08,"U.S. Department of Agriculture Announces 15 Additional States Onboard With National Milk Testing Strategy for H5N1, Shares Update on Vaccination Efforts",https://www.usda.gov/about-usda/news/press-releases/2025/01/08/us-department-agriculture-announces-15-additional-states-onboard-national-milk-testing-strategy-h5n1
2025-01-08,USDA Announces Grants and Technical Assistance Funding for Urban Agriculture and Innovative Production,https://www.usda.gov/about-usda/news/press-releases/2025/01/08/usda-announces-grants-and-technical-assistance-funding-urban-agriculture-and-innovative-production
2025-01-07,USDA Announces Appointments to the Greenhouse Gas Technical Assistance Provider and Third-Party Verifier Program Advisory Council,https://www.usda.gov/about-usda/news/press-releases/2025/01/07/usda-announces-appointments-greenhouse-gas-technical-assistance-provider-and-third-party-verifier
2024-11-25,USDA Funding Supports Northeast Native Americans,https://www.usda.gov/about-usda/news/blog/2024/11/25/usda-funding-supports-northeast-native-americans
2024-10-07,Senior Advisor to the DISC Assistant Chief Information Officer (ACIO) and Deputy ACIO/Chief Operating Officer (COO),https://www.usda.gov/about-usda/general-information/staff-offices/office-chief-information-officer/digital-infrastructure-services-center-disc/leadership/senior-advisor-disc-assistant-chief-information-officer-acio-and-deputy-aciochief-operating-officer
2024-10-02,Office of Human Resources Management (OHRM),https://www.usda.gov/about-usda/general-information/staff-offices/departmental-administration/office-human-resources-management-ohrm
2024-09-05,Statement from Agriculture Secretary Tom Vilsack on ERS’ 2024 Farm Sector Income Forecast,https://www.usda.gov/about-usda/news/press-releases/2024/09/05/statement-agriculture-secretary-tom-vilsack-ers-2024-farm-sector-income-forecast
2024-08-28,USDA Releases Updated Guideline to Strengthen Substantiation of Animal-Raising and Environment-Related Claims on Meat and Poultry Labels,https://www.usda.gov/about-usda/news/press-releases/2024/08/28/usda-releases-updated-guideline-strengthen-substantiation-animal-raising-and-environment-related
2024-08-13,"USDA Announces Intent to Establish Greenhouse Gas Technical Assistance Provider and Third-Party Verifier Program Advisory Council, Seeks Nominations",https://www.usda.gov/about-usda/news/press-releases/2024/08/13/usda-announces-intent-establish-greenhouse-gas-technical-assistance-provider-and-third-party
2024-08-13,"USDA Announces Intent to Establish Greenhouse Gas Technical Assistance Provider and Third-Party Verifier Program Advisory Council, Seeks Nominations",https://www.usda.gov/about-usda/news/press-releases/2024/08/13/usda-announces-intent-establish-greenhouse-gas-technical-assistance-provider-and-third-party-0
2024-08-12,Accessibility Plays,https://www.usda.gov/about-usda/policies-and-links/digital/digital-strategy/accessibility/accessibility-plays
2024-08-12,Customer Relations Branch,https://www.usda.gov/about-usda/general-information/staff-offices/departmental-administration/office-operations-oo/customer-relations-branch
2024-08-12,ReConnect Program FY 2019 Funding Opportunity Announcement Awardees,https://www.usda.gov/sustainability/infrastructure/broadband/reconnect-loan-and-grant-program/reconnect-announcements/reconnect-program-fy-2019-funding-opportunity-announcement-awardees
2024-07-18,Biden-Harris Administration Announces $90 Million in Innovative Projects that Help Conserve Natural Resources and Address Climate Change as Part of Investing in America Agenda,https://www.usda.gov/about-usda/news/press-releases/2024/07/18/biden-harris-administration-announces-90-million-innovative-projects-help-conserve-natural-resources
2024-06-26,USDA Publishes Request for Information on the Production of Biofuel Feedstocks Using Climate-Smart Practices,https://www.usda.gov/about-usda/news/press-releases/2024/06/26/usda-publishes-request-information-production-biofuel-feedstocks-using-climate-smart-practices
2024-06-25,"USDA Is Delivering on its Commitment to Fair, Competitive, and Transparent Markets",https://www.usda.gov/about-usda/news/press-releases/2024/06/25/usda-delivering-its-commitment-fair-competitive-and-transparent-markets
2024-06-25,"USDA Proposes New Rule to Clarify Unfair Practices in the Livestock, Meat, and Poultry Industries",https://www.usda.gov/about-usda/news/press-releases/2024/06/25/usda-proposes-new-rule-clarify-unfair-practices-livestock-meat-and-poultry-industries
2024-06-14,USDA Awards $50 Million to Support Farmworkers and Agricultural Employers,https://www.usda.gov/about-usda/news/press-releases/2024/06/14/usda-awards-50-million-support-farmworkers-and-agricultural-employers
2024-06-03,"USDA Proposes Next Steps to Promote Fairer Poultry Markets, Protect Producers, and Enhance Transparency",https://www.usda.gov/about-usda/news/press-releases/2024/06/03/usda-proposes-next-steps-promote-fairer-poultry-markets-protect-producers-and-enhance-transparency
2024-05-30,USDA Announces $824 Million in New Funding to Protect Livestock Health; Launches Voluntary H5N1 Dairy Herd Status Pilot Program,https://www.usda.gov/about-usda/news/press-releases/2024/05/30/usda-announces-824-million-new-funding-protect-livestock-health-launches-voluntary-h5n1-dairy-herd
2024-04-03,USDA Makes $1.5 Billion Available to Help Farmers Advance Conservation and Climate-Smart Agriculture as Part of President Biden’s Investing in America Agenda,https://www.usda.gov/about-usda/news/press-releases/2024/04/03/usda-makes-15-billion-available-help-farmers-advance-conservation-and-climate-smart-agriculture-part
2024-03-28,Farmworkers are Vital to a Resilient Food System,https://www.usda.gov/about-usda/news/blog/farmworkers-are-vital-resilient-food-system
2024-03-05,USDA Announces Next Major Step in Promoting Competition in Agriculture and Advancing Economic Opportunity and Fairness for Growers,https://www.usda.gov/about-usda/news/press-releases/2024/03/05/usda-announces-next-major-step-promoting-competition-agriculture-and-advancing-economic-opportunity
2024-02-07,Statement from Agriculture Secretary Tom Vilsack on the 2024 Farm Sector Income Forecast,https://www.usda.gov/about-usda/news/press-releases/2024/02/07/statement-agriculture-secretary-tom-vilsack-2024-farm-sector-income-forecast
2024-01-19,USDA Launches Pilot to Help More Processors Access High-Value Beef Grading,https://www.usda.gov/about-usda/news/press-releases/2024/01/19/usda-launches-pilot-help-more-processors-access-high-value-beef-grading
2024-01-17,USDA Names Participants in 2024 Future Leaders in Agriculture Program,https://www.usda.gov/about-usda/news/press-releases/2024/01/17/usda-names-participants-2024-future-leaders-agriculture-program
2024-01-10,USDA Partners with Pennsylvania to Award More Than $26 Million to Strengthen Food Supply Chain Infrastructure,https://www.usda.gov/about-usda/news/press-releases/2024/01/10/usda-partners-pennsylvania-award-more-26-million-strengthen-food-supply-chain-infrastructure
2023-11-27,Biden-Harris Administration Partners with Ag Producers to Strengthen Agricultural Supply Chains and Lower Food Costs,https://www.usda.gov/about-usda/news/press-releases/2023/11/27/biden-harris-administration-partners-ag-producers-strengthen-agricultural-supply-chains-and-lower
2023-11-20,Evolution of Intelligent Automation at USDA,https://www.usda.gov/about-usda/general-information/staff-offices/office-chief-information-officer/digital-infrastructure-services-center-disc/intelligent-automation-center-excellence/evolution-intelligent-automation-usda
2023-11-16,"USDA Announces Planned Trade Missions for 2024, Shares Next Steps for Regional Agricultural Promotion Program",https://www.usda.gov/about-usda/news/press-releases/2023/11/16/usda-announces-planned-trade-missions-2024-shares-next-steps-regional-agricultural-promotion-program
2023-11-08,"USDA Announces Progress to Further Competition in Agriculture, Level Playing Field for Farmers",https://www.usda.gov/about-usda/news/press-releases/2023/11/08/usda-announces-progress-further-competition-agriculture-level-playing-field-farmers
2023-11-03,"WIC is Vital – but Vastly Underutilized, Research Finds",https://www.usda.gov/about-usda/news/press-releases/2023/11/03/wic-vital-vastly-underutilized-research-finds
2023-09-22,"USDA Launches Program to Support Agricultural Employers and Farmworkers, Aiming to Increase Economic and Supply Chain Resilience as Part of President Biden’s Investing in America Agenda",https://www.usda.gov/about-usda/news/press-releases/2023/09/22/usda-launches-program-support-agricultural-employers-and-farmworkers-aiming-increase-economic-and
2023-09-13,USDA Celebrates First Year of Partnerships for Climate-Smart Commodities Market Opportunity,https://www.usda.gov/about-usda/news/press-releases/2023/09/13/usda-celebrates-first-year-partnerships-climate-smart-commodities-market-opportunity
2023-08-01,"USDA, Washington State University Break Ground on New State-of-the-Art Agricultural Research Facility",https://www.usda.gov/about-usda/news/press-releases/2023/08/01/usda-washington-state-university-break-ground-new-state-art-agricultural-research-facility
2023-07-19,"USDA Launches Historic Partnership with Bipartisan State Attorneys General to Help Reduce Anticompetitive Barriers Across Food, Agriculture Supply Chains",https://www.usda.gov/about-usda/news/press-releases/2023/07/19/usda-launches-historic-partnership-bipartisan-state-attorneys-general-help-reduce-anticompetitive
2023-05-04,"Fact Sheet: USDA Is Fighting for Fair, Competitive, and Transparent Markets",https://www.usda.gov/about-usda/news/press-releases/2023/05/04/fact-sheet-usda-fighting-fair-competitive-and-transparent-markets
2023-04-20,Biden-Harris Administration Announces New Steps for Climate Resilience and Forest Conservation,https://www.usda.gov/about-usda/news/press-releases/2023/04/20/biden-harris-administration-announces-new-steps-climate-resilience-and-forest-conservation
2023-04-14,Fact Sheet: USDA Continues Partner Engagement to Mitigate Highly Pathogenic Avian Influenza for 2023 Season,https://www.usda.gov/about-usda/news/press-releases/2023/04/14/fact-sheet-usda-continues-partner-engagement-mitigate-highly-pathogenic-avian-influenza-2023-season
